CRN,Course,Title,SH,Instructor,Meeting Dates,Days,Time,Categories,Seats,Limit,Enroll,Subject,Prerequisites
15921,MAT 150-06,Precalculus I,3,Debbie D. White,08-JAN-2018 to 25-APR-2018,T R,1530-1645,.GMT,1,50,49,math,
15513,MAT 150-81D,Precalculus I,3,Tracey H. Howell,09-DEC-2017 to 18-JAN-2018,,,.GMT,63,90,27,math,
10472,MAT 151-01,Precalculus II,3,Walker G. Weigel,08-JAN-2018 to 25-APR-2018,M W F,0800-0850,.GMT,11,50,39,math,['MAT150']
10473,MAT 151-02,Precalculus II,3,Debbie D. White,08-JAN-2018 to 25-APR-2018,T R,0800-0915,.GMT,11,50,39,math,['MAT150']
10474,MAT 151-03,Precalculus II,3,Tracey H. Howell,08-JAN-2018 to 25-APR-2018,R,0900-0950,.GMT,0,50,50,math,['MAT150']
13108,MAT 151-04,Precalculus II,3,Tracey H. Howell,08-JAN-2018 to 25-APR-2018,R,1000-1050,.GMT,0,50,50,math,['MAT150']
14218,MAT 151-05,Precalculus II,3,Walker G. Weigel,08-JAN-2018 to 25-APR-2018,T R,1100-1215,.GMT,1,50,49,math,['MAT150']
13457,MAT 190-01,Precalculus,3,Jonathan T. Rowell,08-JAN-2018 to 25-APR-2018,M W,1400-1515,.GMT,17,35,18,math,
10475,MAT 191-01,Calculus I,3,Dan Yasaki,08-JAN-2018 to 25-APR-2018,M W F,1400-1450,.GMT,-1,35,36,math,['MAT151']
10476,MAT 191-02,Calculus I,3,Brett A. Tangedal,08-JAN-2018 to 25-APR-2018,M W F,1100-1150,.GMT,2,35,33,math,['MAT151']
10477,MAT 191-03,Calculus I,3,Elliott Z. Hollifield,08-JAN-2018 to 25-APR-2018,T R,0930-1045,.GMT,8,35,27,math,['MAT151']
13250,MAT 191-04,Calculus I,3,Carol E. Seaman,08-JAN-2018 to 25-APR-2018,T R,1100-1215,.GMT,10,35,25,math,['MAT151']
15850,MAT 191-05,Calculus I,3,Carol E. Seaman,08-JAN-2018 to 25-APR-2018,T R,1400-1515,.GMT,5,35,30,math,['MAT151']
10478,MAT 253-01,Discrete Mathematical Structur,3,Dan Yasaki,08-JAN-2018 to 25-APR-2018,M W F,1000-1050,none,12,35,23,math,
10479,MAT 292-01,Calculus II,3,Igor Erovenko,08-JAN-2018 to 25-APR-2018,M W F,1000-1050,none,13,35,22,math,['MAT191']
10480,MAT 292-02,Calculus II,3,Jerry Vaughan,08-JAN-2018 to 25-APR-2018,M W F,1400-1450,none,17,35,18,math,['MAT191']
13109,MAT 292-03,Calculus II,3,Talia Fernos,08-JAN-2018 to 25-APR-2018,T R,1100-1215,none,1,35,34,math,['MAT191']
13099,MAT 292-04,Calculus II,3,Richard H. Fabiano,08-JAN-2018 to 25-APR-2018,T R,1530-1645,none,-1,35,36,math,['MAT191']
10481,MAT 293-01,Calculus III,3,Jonathan T. Rowell,08-JAN-2018 to 25-APR-2018,M W F,0900-0950,none,10,35,25,math,['MAT292']
12490,MAT 293-02,Calculus III,3,Filip Saidak,08-JAN-2018 to 25-APR-2018,T R,1400-1515,none,-4,35,39,math,['MAT292']
10482,MAT 310-01,Elementary Linear Algebra,3,Igor Erovenko,08-JAN-2018 to 25-APR-2018,M W F,1100-1150,none,2,25,23,math,['MAT292']
15849,MAT 310-02,Elementary Linear Algebra,3,Clifford D. Smyth,08-JAN-2018 to 25-APR-2018,T R,1530-1645,none,0,25,25,math,['MAT292']
16689,MAT 320-01,Introduction to Topology,3,Talia Fernos,08-JAN-2018 to 25-APR-2018,T R,1400-1515,none,16,25,9,math,
10483,MAT 390-01,Ordinary Differential Equatns,3,Yi Zhang,08-JAN-2018 to 25-APR-2018,T R,1100-1215,none,7,25,18,math,['MAT292']
10484,MAT 394-01,Calculus IV,3,Jerry Vaughan,08-JAN-2018 to 25-APR-2018,M W F,1100-1150,none,7,25,18,math,
10485,MAT 395-01,Intro to Mathematical Analysis,3,Brett A. Tangedal,08-JAN-2018 to 25-APR-2018,M W F,1300-1350,none,2,25,23,math,
14227,MAT 465-01,Studnt Tch/Sem:Secondary Math,12,Tracey H. Howell,08-JAN-2018 to 25-APR-2018,R,1700-1900,none,3,5,2,math,
16577,MAT 522-01,Intro Functional Analysis,3,Richard H. Fabiano,08-JAN-2018 to 25-APR-2018,T R,0930-1045,none,4,15,11,math,
16912,MAT 523-01,Numerical Methods,3,Thomas L. Lewis,08-JAN-2018 to 25-APR-2018,M W F,1000-1050,none,3,10,7,math,
