CRN,Course,Title,SH,Instructor,Meeting Dates,Days,Time,Categories,Seats,Limit,Enroll,Subject,Prerequisites
11462,BIO 280L-04,Fundmntls of Microbiology Lab,0,Ashley D. Herring,08-JAN-2018 to 25-APR-2018,M W,1500-1650,none,1,24,23,biology,
11463,BIO 280L-05,Fundmntls of Microbiology Lab,0,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,T R,0930-1120,none,-1,24,25,biology,
13782,BIO 280L-06,Fundmntls of Microbiology Lab,0,Casey M. Taylor,08-JAN-2018 to 25-APR-2018,T R,1130-1320,none,-1,24,25,biology,
14443,BIO 280L-07,Fundmntls of Microbiology Lab,0,Casey M. Taylor,08-JAN-2018 to 25-APR-2018,T R,1530-1720,none,0,24,24,biology,
15806,BIO 280L-08,Fundmntls of Microbiology Lab,0,Ashley D. Herring,08-JAN-2018 to 25-APR-2018,M W,1700-1900,none,2,24,22,biology,
11464,BIO 301-01,Principles of Ecology,3,Gideon Wasserberg,08-JAN-2018 to 25-APR-2018,T R,1100-1215,.ENV.SUS,23,180,157,biology,
14869,BIO 315-01,Ecology and Evolution Lab,2,Curtis E. Green,08-JAN-2018 to 25-APR-2018,M,0900-1150,.WI,9,24,15,biology,
14870,BIO 315-02,Ecology and Evolution Lab,2,Peter W. Blum,08-JAN-2018 to 25-APR-2018,M,1300-1550,.WI,14,24,10,biology,
14872,BIO 315-03,Ecology and Evolution Lab,2,Austin N. Craven,08-JAN-2018 to 25-APR-2018,T,0900-1150,.WI,16,24,8,biology,
14873,BIO 315-04,Ecology and Evolution Lab,2,Peter W. Blum,08-JAN-2018 to 25-APR-2018,T,1300-1550,.WI,1,24,23,biology,
14874,BIO 315-05,Ecology and Evolution Lab,2,Curtis E. Green,08-JAN-2018 to 25-APR-2018,W,0900-1150,.WI,6,24,18,biology,
14876,BIO 315-06,Ecology and Evolution Lab,2,Robert H. Stavn,08-JAN-2018 to 25-APR-2018,W,1300-1550,.WI,3,24,21,biology,
14877,BIO 315-07,Ecology and Evolution Lab,2,Curtis E. Green,08-JAN-2018 to 25-APR-2018,R,0900-1150,.WI,16,24,8,biology,
14878,BIO 315-08,Ecology and Evolution Lab,2,Curtis E. Green,08-JAN-2018 to 25-APR-2018,R,1300-1550,.WI,-1,24,25,biology,
14879,BIO 330-01,Evolution,3,David L. Remington,08-JAN-2018 to 25-APR-2018,M W,1400-1515,none,119,250,131,biology,
11465,BIO 355-01,Cell Biology,3,Mark D. Hens,08-JAN-2018 to 25-APR-2018,M W F,1000-1050,none,26,185,159,biology,
14884,BIO 375-01,Cell Biology and Genetics Lab,2,Karen S. Katula,08-JAN-2018 to 25-APR-2018,M,1300-1550,.WI,8,20,12,biology,
14887,BIO 375-02,Cell Biology and Genetics Lab,2,John E. Tomkiel Dean,08-JAN-2018 to 25-APR-2018,M,1300-1550,.WI,10,20,10,biology,
14888,BIO 375-03,Cell Biology and Genetics Lab,2,Ashley D. Herring,08-JAN-2018 to 25-APR-2018,T,1300-1550,.WI,1,20,19,biology,
14889,BIO 375-04,Cell Biology and Genetics Lab,2,Maria Cristina D. Moreira,08-JAN-2018 to 25-APR-2018,T,1300-1550,.WI,8,20,12,biology,
14890,BIO 375-05,Cell Biology and Genetics Lab,2,Mark D. Hens,08-JAN-2018 to 25-APR-2018,W,1300-1550,.WI,1,20,19,biology,
14891,BIO 375-06,Cell Biology and Genetics Lab,2,Austin N. Craven,08-JAN-2018 to 25-APR-2018,W,1300-1550,.WI,8,20,12,biology,
14892,BIO 375-07,Cell Biology and Genetics Lab,2,Ashley D. Herring,08-JAN-2018 to 25-APR-2018,R,1300-1550,.WI,2,20,18,biology,
14893,BIO 375-08,Cell Biology and Genetics Lab,2,Maria Cristina D. Moreira,08-JAN-2018 to 25-APR-2018,R,1300-1550,.WI,11,20,9,biology,
11468,BIO 392-01,Genetics,3,Joshua P. Vandenbrink,08-JAN-2018 to 25-APR-2018,T R,0930-1045,none,96,250,154,biology,
11471,BIO 420-01,Marine Biology,3,Robert H. Stavn,08-JAN-2018 to 25-APR-2018,T R,1530-1645,.ENV,4,56,52,biology,
14178,BIO 438-01,Animal Behavior,3,Olav Rueppell,08-JAN-2018 to 25-APR-2018,M W F,0800-0850,.ENV,0,34,34,biology,
14894,BIO 464-01,Developmental Biology,4,Ramji K. Bhandari,08-JAN-2018 to 25-APR-2018,T R,0930-1045,none,7,24,17,biology,
14895,BIO 472-01,Histology,4,Esther M. Leise,08-JAN-2018 to 25-APR-2018,T R,1100-1215,none,0,20,20,biology,
13432,BIO 488-01,Essentials of Toxicology,3,Zhenquan Jia,08-JAN-2018 to 25-APR-2018,M W,1200-1315,none,-5,35,40,biology,
11485,BIO 493-01,Honors Work,3,John J. Lepri,08-JAN-2018 to 25-APR-2018,,,.HSS,9,10,1,biology,
15856,BIO 493-03,Honors Work,3,Ramji K. Bhandari,08-JAN-2018 to 25-APR-2018,,,.HSS,10,10,0,biology,
11486,BIO 494-01,Intro to Biotechnology,4,Paul A. Steimle,08-JAN-2018 to 25-APR-2018,T R,1230-1345,none,0,24,24,biology,
11487,BIO 497-01,Internship in Biology,1,Ann B. Somers,08-JAN-2018 to 25-APR-2018,F,1300-1350,none,6,24,18,biology,
11488,BIO 497-02,Internship in Biology,1,Ann B. Somers,08-JAN-2018 to 25-APR-2018,F,1400-1450,none,14,24,10,biology,
11489,BIO 499-01,Undergraduate Research,1,Amy L. Adamson,08-JAN-2018 to 25-APR-2018,,,none,0,2,2,biology,
16440,BIO 499-02,Undergraduate Research,1,,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
11493,BIO 499-03,Undergraduate Research,1,Ramji K. Bhandari,08-JAN-2018 to 25-APR-2018,,,none,4,10,6,biology,
11494,BIO 499-04,Undergraduate Research,1,Mark D. Hens,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
11495,BIO 499-05,Undergraduate Research,1,Anne E. Hershey,08-JAN-2018 to 25-APR-2018,,,none,15,15,0,biology,
11496,BIO 499-06,Undergraduate Research,1,Zhenquan Jia,08-JAN-2018 to 25-APR-2018,,,none,5,10,5,biology,
11497,BIO 499-07,Undergraduate Research,1,Matina C. Kalcounis-Ruppell,08-JAN-2018 to 25-APR-2018,,,none,8,10,2,biology,
11498,BIO 499-08,Undergraduate Research,1,Karen S. Katula,08-JAN-2018 to 25-APR-2018,,,none,6,10,4,biology,
11499,BIO 499-09,Undergraduate Research,1,Bruce K. Kirchoff,08-JAN-2018 to 25-APR-2018,,,none,9,10,1,biology,
11490,BIO 499-10,Undergraduate Research,1,Sarah E. Koerner,08-JAN-2018 to 25-APR-2018,,,none,6,10,4,biology,
11500,BIO 499-12,Undergraduate Research,1,Esther M. Leise,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
11501,BIO 499-13,Undergraduate Research,1,John J. Lepri,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
11502,BIO 499-14,Undergraduate Research,1,,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
11503,BIO 499-15,Undergraduate Research,1,Yashomati M. Patel,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
11504,BIO 499-16,Undergraduate Research,1,David L. Remington,08-JAN-2018 to 25-APR-2018,,,none,7,10,3,biology,
11505,BIO 499-17,Undergraduate Research,1,Parke A. Rublee,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
11506,BIO 499-18,Undergraduate Research,1,Olav Rueppell,08-JAN-2018 to 25-APR-2018,,,none,3,10,7,biology,
11507,BIO 499-19,Undergraduate Research,1,Malcolm D. Schug,08-JAN-2018 to 25-APR-2018,,,none,2,10,8,biology,
11545,BIO 499-20,Undergraduate Research,1,Ann B. Somers,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
11546,BIO 499-21,Undergraduate Research,1,Robert H. Stavn,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
11547,BIO 499-22,Undergraduate Research,1,Paul A. Steimle,08-JAN-2018 to 25-APR-2018,,,none,8,10,2,biology,
11548,BIO 499-23,Undergraduate Research,1,John E. Tomkiel Dean,08-JAN-2018 to 25-APR-2018,,,none,6,10,4,biology,
11550,BIO 499-24,Undergraduate Research,1,Gideon Wasserberg,08-JAN-2018 to 25-APR-2018,,,none,7,10,3,biology,
12855,BIO 499-25,Undergraduate Research,1,Tsz-Ki M. Tsui,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
16475,BIO 499-26,Undergraduate Research,1,Joseph L. Graves,08-JAN-2018 to 25-APR-2018,,,none,7,10,3,biology,
16441,BIO 529-01,Aquatic Ecology,3,Anne E. Hershey,08-JAN-2018 to 25-APR-2018,M,1400-1700,.ENV,3,30,27,biology,
16714,BIO 535-01,Biochem:Metabolic Regulation,3,Yashomati M. Patel,08-JAN-2018 to 25-APR-2018,M W,1400-1515,none,0,20,20,biology,
16808,BIO 543-01,Biophysics,3,Promod R. Pratap,08-JAN-2018 to 25-APR-2018,T R,1530-1645,none,17,20,3,biology,
16447,BIO 549-01,Current Topics:Stable Isotopes,1,Tsz-Ki M. Tsui,08-JAN-2018 to 25-APR-2018,W,1400-1450,none,2,15,13,biology,
16451,BIO 549-02,Scientific Reading & Writing,1,Matina C. Kalcounis-Ruppell,08-JAN-2018 to 25-APR-2018,M,1600-1650,none,8,20,12,biology,
15514,BIO 554-01,Vascular Plant Systematics,4,Bruce K. Kirchoff,08-JAN-2018 to 25-APR-2018,T R,1230-1345,.ENV.SI,1,24,23,biology,
15515,BIO 554L-01,Vascular Plant Systematics Lab,0,Bruce K. Kirchoff,08-JAN-2018 to 25-APR-2018,T,1400-1650,none,1,24,23,biology,
14160,BIO 555-01,Vertebrate Reproduction,3,John J. Lepri,08-JAN-2018 to 25-APR-2018,M W F,0900-0950,none,9,30,21,biology,
14163,BIO 560-01,Symbiosis,3,Parke A. Rublee,08-JAN-2018 to 25-APR-2018,T R,1400-1515,.WI,-3,20,23,biology,
12856,BIO 583-01,Virology,3,Amy L. Adamson,08-JAN-2018 to 25-APR-2018,T R,0930-1045,none,0,25,25,biology,
14902,BIO 586-01,Cell Cycle and Cancer,3,Karen S. Katula,08-JAN-2018 to 25-APR-2018,T R,1100-1215,none,0,30,30,biology,
14164,BIO 596-01,Moleculr Bio Apprch in Resrch,1,David L. Remington,08-JAN-2018 to 25-APR-2018,T,1400-1450,.SI,-3,20,23,biology,
16712,BIO 596-02,Moleculr Bio Apprch in Resrch,1,John J. Lepri,08-JAN-2018 to 25-APR-2018,M,1500-1550,.SI,1,24,23,biology,
15725,BIO 596-03,Moleculr Bio Apprch- HUM EVOL,1,Malcolm D. Schug,08-JAN-2018 to 25-APR-2018,F,0900-0950,.SI,0,25,25,biology,
16446,BIO 597-01,Biotechnology: Toxicology,1,Tsz-Ki M. Tsui,08-JAN-2018 to 25-APR-2018,M,1400-1550,none,15,24,9,biology,
16465,BIO 601-01,Seminar in Animal Ecology,3,Gideon Wasserberg,08-JAN-2018 to 25-APR-2018,R,1500-1730,none,18,20,2,biology,
16466,BIO 609-01,Seminar in Molecular Biology,3,Amy L. Adamson,08-JAN-2018 to 25-APR-2018,T R,1400-1515,none,20,24,4,biology,
11598,BIO 695-01,Biological Research,1,Amy L. Adamson,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
11599,BIO 695-02,Biological Research,1,,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
11600,BIO 695-03,Biological Research,1,Ramji K. Bhandari,08-JAN-2018 to 25-APR-2018,,,none,9,10,1,biology,
11601,BIO 695-04,Biological Research,1,Mark D. Hens,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
11602,BIO 695-05,Biological Research,1,Anne E. Hershey,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
11603,BIO 695-06,Biological Research,1,Zhenquan Jia,08-JAN-2018 to 25-APR-2018,,,none,8,10,2,biology,
11604,BIO 695-07,Biological Research,1,Matina C. Kalcounis-Ruppell,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
11605,BIO 695-08,Biological Research,1,Karen S. Katula,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
11607,BIO 695-09,Biological Research,1,Bruce K. Kirchoff,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
11608,BIO 695-10,Biological Research,1,Sarah E. Koerner,08-JAN-2018 to 25-APR-2018,,,none,9,10,1,biology,
11609,BIO 695-12,Biological Research,1,Esther M. Leise,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
11610,BIO 695-13,Biological Research,1,John J. Lepri,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
11611,BIO 695-14,Biological Research,1,,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
11612,BIO 695-15,Biological Research,1,Yashomati M. Patel,08-JAN-2018 to 25-APR-2018,,,none,8,10,2,biology,
11613,BIO 695-16,Biological Research,1,David L. Remington,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
11614,BIO 695-17,Biological Research,1,Parke A. Rublee,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
11615,BIO 695-18,Biological Research,1,Olav Rueppell,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
11617,BIO 695-19,Biological Research,1,Malcolm D. Schug,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
11618,BIO 695-20,Biological Research,1,Robert H. Stavn,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
11619,BIO 695-21,Biological Research,1,Paul A. Steimle,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
11622,BIO 695-22,Biological Research,1,John E. Tomkiel Dean,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
11628,BIO 695-23,Biological Research,1,Gideon Wasserberg,08-JAN-2018 to 25-APR-2018,,,none,9,10,1,biology,
12862,BIO 695-24,Biological Research,1,Tsz-Ki M. Tsui,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
11631,BIO 699-01,Thesis,1,Amy L. Adamson,08-JAN-2018 to 25-APR-2018,,,none,8,10,2,biology,
11633,BIO 699-02,Thesis,1,,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
11635,BIO 699-03,Thesis,1,Ramji K. Bhandari,08-JAN-2018 to 25-APR-2018,,,none,7,10,3,biology,
11647,BIO 699-04,Thesis,1,Mark D. Hens,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
11649,BIO 699-05,Thesis,1,Anne E. Hershey,08-JAN-2018 to 25-APR-2018,,,none,9,10,1,biology,
11652,BIO 699-06,Thesis,1,Zhenquan Jia,08-JAN-2018 to 25-APR-2018,,,none,8,10,2,biology,
11655,BIO 699-07,Thesis,1,Matina C. Kalcounis-Ruppell,08-JAN-2018 to 25-APR-2018,,,none,9,10,1,biology,
11658,BIO 699-08,Thesis,1,Karen S. Katula,08-JAN-2018 to 25-APR-2018,,,none,8,10,2,biology,
11685,BIO 699-09,Thesis,1,Bruce K. Kirchoff,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
11687,BIO 699-10,Thesis,1,Sarah E. Koerner,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
11689,BIO 699-12,Thesis,1,Esther M. Leise,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
11690,BIO 699-13,Thesis,1,John J. Lepri,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
11691,BIO 699-14,Thesis,1,,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
11694,BIO 699-15,Thesis,1,Yashomati M. Patel,08-JAN-2018 to 25-APR-2018,,,none,8,10,2,biology,
11696,BIO 699-16,Thesis,1,David L. Remington,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
11700,BIO 699-17,Thesis,1,Parke A. Rublee,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
11704,BIO 699-18,Thesis,1,Olav Rueppell,08-JAN-2018 to 25-APR-2018,,,none,8,10,2,biology,
11706,BIO 699-19,Thesis,1,Malcolm D. Schug,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
11709,BIO 699-20,Thesis,1,Robert H. Stavn,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
11711,BIO 699-21,Thesis,1,Paul A. Steimle,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
11712,BIO 699-22,Thesis,1,John E. Tomkiel Dean,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
11408,BIO 699-23,Thesis,1,Gideon Wasserberg,08-JAN-2018 to 25-APR-2018,,,none,9,10,1,biology,
12863,BIO 699-24,Thesis,1,Tsz-Ki M. Tsui,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
15536,BIO 732-01,Env Hlth Sci II:Indiv-Molecles,3,Zhenquan Jia,08-JAN-2018 to 25-APR-2018,T R,1100-1215,none,16,20,4,biology,
15718,BIO 734-01,Curr Rsch Envir Hlth Sci,1,Anne E. Hershey,08-JAN-2018 to 25-APR-2018,W,1220-1250,none,5,10,5,biology,
15708,BIO 749-01,Research Lab Rotations,1,Paul A. Steimle,08-JAN-2018 to 25-APR-2018,,,none,12,15,3,biology,
12512,BIO 790-00,Directed Study in Env Hlth Sci,1,Gideon Wasserberg,08-JAN-2018 to 25-APR-2018,,,none,8,10,2,biology,
11409,BIO 790-01,Directed Study in Env Hlth Sci,1,Amy L. Adamson,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
12196,BIO 790-02,Directed Study in Env Hlth Sci,1,,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
12197,BIO 790-03,Directed Study in Env Hlth Sci,1,Ramji K. Bhandari,08-JAN-2018 to 25-APR-2018,,,none,9,10,1,biology,
12198,BIO 790-04,Directed Study in Env Hlth Sci,1,Mark D. Hens,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
12199,BIO 790-05,Directed Study in Env Hlth Sci,1,Anne E. Hershey,08-JAN-2018 to 25-APR-2018,,,none,9,10,1,biology,
12200,BIO 790-06,Directed Study in Env Hlth Sci,1,Zhenquan Jia,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
12201,BIO 790-07,Directed Study in Env Hlth Sci,1,Matina C. Kalcounis-Ruppell,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
12202,BIO 790-08,Directed Study in Env Hlth Sci,1,Karen S. Katula,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
12203,BIO 790-09,Directed Study in Env Hlth Sci,1,Bruce K. Kirchoff,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
12204,BIO 790-10,Directed Study in Env Hlth Sci,1,Sarah E. Koerner,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
12205,BIO 790-12,Directed Study in Env Hlth Sci,1,Esther M. Leise,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
12206,BIO 790-13,Directed Study in Env Hlth Sci,1,John J. Lepri,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
12207,BIO 790-14,Directed Study in Env Hlth Sci,1,,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
12208,BIO 790-15,Directed Study in Env Hlth Sci,1,Yashomati M. Patel,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
12209,BIO 790-16,Directed Study in Env Hlth Sci,1,David L. Remington,08-JAN-2018 to 25-APR-2018,,,none,9,10,1,biology,
12210,BIO 790-17,Directed Study in Env Hlth Sci,1,Parke A. Rublee,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
12211,BIO 790-18,Directed Study in Env Hlth Sci,1,Olav Rueppell,08-JAN-2018 to 25-APR-2018,,,none,8,10,2,biology,
12212,BIO 790-19,Directed Study in Env Hlth Sci,1,Malcolm D. Schug,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
12213,BIO 790-20,Directed Study in Env Hlth Sci,1,Robert H. Stavn,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
12214,BIO 790-21,Directed Study in Env Hlth Sci,1,Robert H. Stavn,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
12215,BIO 790-22,Directed Study in Env Hlth Sci,1,Paul A. Steimle,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
12216,BIO 790-23,Directed Study in Env Hlth Sci,1,John E. Tomkiel Dean,08-JAN-2018 to 25-APR-2018,,,none,9,10,1,biology,
12864,BIO 790-24,Directed Study in Env Hlth Sci,1,Tsz-Ki M. Tsui,08-JAN-2018 to 25-APR-2018,,,none,8,10,2,biology,
11410,BIO 791-01,Independent Doctoral Research,1,Amy L. Adamson,08-JAN-2018 to 25-APR-2018,,,none,4,5,1,biology,
12217,BIO 791-02,Independent Doctoral Research,1,,08-JAN-2018 to 25-APR-2018,,,none,5,5,0,biology,
12218,BIO 791-03,Independent Doctoral Research,1,Ramji K. Bhandari,08-JAN-2018 to 25-APR-2018,,,none,5,5,0,biology,
12219,BIO 791-04,Independent Doctoral Research,1,Mark D. Hens,08-JAN-2018 to 25-APR-2018,,,none,5,5,0,biology,
12220,BIO 791-05,Independent Doctoral Research,1,Anne E. Hershey,08-JAN-2018 to 25-APR-2018,,,none,5,5,0,biology,
12222,BIO 791-06,Independent Doctoral Research,1,Zhenquan Jia,08-JAN-2018 to 25-APR-2018,,,none,5,5,0,biology,
12224,BIO 791-07,Independent Doctoral Research,1,Matina C. Kalcounis-Ruppell,08-JAN-2018 to 25-APR-2018,,,none,5,5,0,biology,
12226,BIO 791-08,Independent Doctoral Research,1,Karen S. Katula,08-JAN-2018 to 25-APR-2018,,,none,5,5,0,biology,
12227,BIO 791-09,Independent Doctoral Research,1,Bruce K. Kirchoff,08-JAN-2018 to 25-APR-2018,,,none,5,5,0,biology,
12228,BIO 791-10,Independent Doctoral Research,1,Sarah E. Koerner,08-JAN-2018 to 25-APR-2018,,,none,5,5,0,biology,
12229,BIO 791-12,Independent Doctoral Research,1,Esther M. Leise,08-JAN-2018 to 25-APR-2018,,,none,5,5,0,biology,
12230,BIO 791-13,Independent Doctoral Research,1,John J. Lepri,08-JAN-2018 to 25-APR-2018,,,none,5,5,0,biology,
12231,BIO 791-14,Independent Doctoral Research,1,,08-JAN-2018 to 25-APR-2018,,,none,5,5,0,biology,
12232,BIO 791-15,Independent Doctoral Research,1,Yashomati M. Patel,08-JAN-2018 to 25-APR-2018,,,none,5,5,0,biology,
12233,BIO 791-16,Independent Doctoral Research,1,David L. Remington,08-JAN-2018 to 25-APR-2018,,,none,5,5,0,biology,
12234,BIO 791-17,Independent Doctoral Research,1,Parke A. Rublee,08-JAN-2018 to 25-APR-2018,,,none,5,5,0,biology,
12235,BIO 791-18,Independent Doctoral Research,1,Olav Rueppell,08-JAN-2018 to 25-APR-2018,,,none,5,5,0,biology,
12236,BIO 791-19,Independent Doctoral Research,1,Malcolm D. Schug,08-JAN-2018 to 25-APR-2018,,,none,5,5,0,biology,
12237,BIO 791-20,Independent Doctoral Research,1,Robert H. Stavn,08-JAN-2018 to 25-APR-2018,,,none,5,5,0,biology,
12238,BIO 791-21,Independent Doctoral Research,1,Paul A. Steimle,08-JAN-2018 to 25-APR-2018,,,none,4,5,1,biology,
12239,BIO 791-22,Independent Doctoral Research,1,John E. Tomkiel Dean,08-JAN-2018 to 25-APR-2018,,,none,5,5,0,biology,
12240,BIO 791-23,Independent Doctoral Research,1,Gideon Wasserberg,08-JAN-2018 to 25-APR-2018,,,none,5,5,0,biology,
12865,BIO 791-24,Independent Doctoral Research,1,Tsz-Ki M. Tsui,08-JAN-2018 to 25-APR-2018,,,none,5,5,0,biology,
11411,BIO 799-01,Dissertation,1,Amy L. Adamson,08-JAN-2018 to 25-APR-2018,,,none,9,10,1,biology,
12241,BIO 799-02,Dissertation,1,,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
12242,BIO 799-03,Dissertation,1,Ramji K. Bhandari,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
12243,BIO 799-04,Dissertation,1,Mark D. Hens,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
12244,BIO 799-05,Dissertation,1,Anne E. Hershey,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
12245,BIO 799-06,Dissertation,1,Zhenquan Jia,08-JAN-2018 to 25-APR-2018,,,none,9,10,1,biology,
12246,BIO 799-07,Dissertation,1,Matina C. Kalcounis-Ruppell,08-JAN-2018 to 25-APR-2018,,,none,9,10,1,biology,
12247,BIO 799-08,Dissertation,1,Karen S. Katula,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
12248,BIO 799-09,Dissertation,1,Bruce K. Kirchoff,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
12249,BIO 799-10,Dissertation,1,Sarah E. Koerner,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
12250,BIO 799-12,Dissertation,1,Esther M. Leise,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
12253,BIO 799-13,Dissertation,1,John J. Lepri,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
12254,BIO 799-14,Dissertation,1,,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
12255,BIO 799-15,Dissertation,1,Yashomati M. Patel,08-JAN-2018 to 25-APR-2018,,,none,9,10,1,biology,
12256,BIO 799-16,Dissertation,1,David L. Remington,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
12257,BIO 799-17,Dissertation,1,Parke A. Rublee,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
12258,BIO 799-18,Dissertation,1,Olav Rueppell,08-JAN-2018 to 25-APR-2018,,,none,9,10,1,biology,
12259,BIO 799-19,Dissertation,1,Malcolm D. Schug,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
12260,BIO 799-20,Dissertation,1,Robert H. Stavn,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
12261,BIO 799-21,Dissertation,1,Paul A. Steimle,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
12262,BIO 799-22,Dissertation,1,John E. Tomkiel Dean,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
12263,BIO 799-23,Dissertation,1,Gideon Wasserberg,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
12866,BIO 799-24,Dissertation,1,Tsz-Ki M. Tsui,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
11412,BIO 801-01,Thesis Extension,1,Amy L. Adamson,08-JAN-2018 to 25-APR-2018,,,none,9,10,1,biology,
12264,BIO 801-02,Thesis Extension,1,,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
12265,BIO 801-03,Thesis Extension,1,Ramji K. Bhandari,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
12266,BIO 801-04,Thesis Extension,1,Mark D. Hens,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
12267,BIO 801-05,Thesis Extension,1,Anne E. Hershey,08-JAN-2018 to 25-APR-2018,,,none,9,10,1,biology,
12268,BIO 801-06,Thesis Extension,1,Zhenquan Jia,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
12269,BIO 801-07,Thesis Extension,1,Matina C. Kalcounis-Ruppell,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
12270,BIO 801-08,Thesis Extension,1,Karen S. Katula,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
12271,BIO 801-09,Thesis Extension,1,Bruce K. Kirchoff,08-JAN-2018 to 25-APR-2018,,,none,10,10,0,biology,
